title_x,tconst,runtimeMinutes,genres_x,averageRating,numVotes,decennie,budget,popularity,release_date,mots_clefs,data.overview,data.poster_image,Comedy,Drama,Documentary,url_trailer
Ki lo sa?,tt0136289,90.0,"Comedy,Drama,Romance",6.9,81.0,1980,0,0.655,1985-01-01,[],"[""Les enfants d'un quartier se retrouvent régulièrement pour jouer dans le parc d'une maison bourgeoise où les propriétaires, sans enfants, aiment les voir s'ébattre. Ils passent ainsi leur enfance et une partie de leur adolescence. Avant de se séparer, ils se donnent rendez-vous dans le même parc des années plus tard...""]",https://image.tmdb.org/t/p/w500/3K89usDkNBROuGJCHDRhG6EMTbh.jpg,1,1,0,
La nuit des traqués,tt0136438,85.0,"Crime,Drama,Thriller",6.4,67.0,1950,0,0.6,1959-07-01,[],"[""Un jeune et malheureux voleur Anvers, travaillant pour un gang dirigé par le cuir vêtu Philippe Clay, se dispute avec son patron et le tue lors d'un combat. Enrôlant l'aide de sa sœur, il essaie de se débarrasser du corps dans le port, - attirer l'attention d'un veilleur de nuit qui cherche à profiter de la situation""]",https://image.tmdb.org/t/p/w500/n1qhjlDPEq6XImjebkYPlsV44KL.jpg,0,1,0,
La vie en rose,tt0136603,96.0,Drama,7.3,65.0,1940,0,1.4,1948-04-14,[],"['François, jeune étudiant dans un collège de province, aime bien Colette, la fille du proviseur. Son collègue Turlot, qui se suicide, a laissé un journal où il raconte sa relation avec Colette.']",https://image.tmdb.org/t/p/w500/HMKHhq6yXdfPlDHgK8VmhiDQtY.jpg,0,1,0,
Dans la vie tout s'arrange,tt0136770,82.0,Comedy,6.1,22.0,1950,0,0.64,1952-08-01,"['romance', 'poisson hors de l’eau', 'chalet']","[""Une institutrice américaine hérite d'un château à Cannes. Arrivant dans sa propriété, elle a la désagréable surprise de la voir occupée par des squatters. Ceux-ci, contrariés par la venue de la dame, multiplient à son égard farces et niches. Mais le chef des squatters est beau et veuf, mais ses enfants sympathisent avec l'institutrice, mais la cohabitation porte ses fruits, mais dans la vie tout s'arrange, surtout au soleil méditerranéen.""]",https://image.tmdb.org/t/p/w500/7gqcZumX5caPkYQwLbe3L4ErNiW.jpg,1,0,0,
Rapt,tt0137187,83.0,"Crime,Drama,Romance",7.3,304.0,1930,0,0.6,1934-11-23,[],[],https://image.tmdb.org/t/p/w500/nRDvxe3YMWaOiVMPRzCBizSFZB7.jpg,0,1,0,
L'annonce faite à Marie,tt0137358,91.0,"Drama,Romance",6.7,121.0,1990,0,0.762,1991-12-18,[],"['Au XVème siècle, Violaine, promise à Jacques, met son mariage en péril en embrassant par compassion Pierre, l’ayant autrefois aimé et désormais lépreux. Mara, sa sœur jalouse, les voit et convainc Jacques qu’il a été trompé, tandis que Violaine, infectée par la maladie, est conduite à une léproserie. Plusieurs années plus tard, Mara qui a épousé Jacques vient voir sa sœur avec son nourrisson mort-né et supplie Violaine de le ressusciter…']",https://image.tmdb.org/t/p/w500/uNdagnK8oNnyXBjr3aovIBSKf0T.jpg,0,1,0,
Conte d'automne,tt0137439,112.0,"Comedy,Drama,Romance",7.4,6851.0,1990,0,8.262,1998-09-07,"['amitié', 'campagne', 'veuve', 'sud de la France', 'annonce matrimoniale', 'vin', 'viticulture', 'quarantaine']","['Magali, viticultrice de 45 ans, se sent isolée dans sa campagne depuis que son fils et sa fille sont partis. Une de ses amies, Isabelle, lui cherche à son insu un mari.']",https://image.tmdb.org/t/p/w500/9tZfuy9FL0NVXhovSkIcUog1vHQ.jpg,1,1,0,
L'homme aux clés d'or,tt0137817,92.0,Drama,6.3,96.0,1950,0,0.734,1956-11-07,[],"[""Professeur émérite d'Anglais dans un lycée lillois, Antoine Fournier est déshonoré par Rémy, Lucien et Paul, trois lycéens  qu’il a surpris en train de dérober le produit d’une collecte de charité. Roulé par Gisèle (Annie Girardot), complice de Rémy, il est renvoyé de l’enseignement. Antoine trouve, par l’intermédiaire de Joseph Ansaldi, un ami de guerre, un emploi de portier et veilleur de nuit dans un hôtel parisien. Deux ans plus tard, il est second de la conciergerie d'un palace de Monte-Carlo. Quelques années plus tard, devenu premier concierge, l’« homme aux clés d’or », le hasard le mettra en présence des jeunes gens, mariés mais toujours aussi machiavéliques. Il refusera de se venger d’eux mais leurs bas instincts s’en chargeront.""]",https://image.tmdb.org/t/p/w500/xxsyCqoPI6ct326O5vyIJjoWtIG.jpg,0,1,0,
Journal d'une femme en blanc,tt0137853,105.0,Drama,6.4,82.0,1960,0,0.6,1965-04-28,[],"['Etudiante en gynécologie et enceinte, Claude Sauvage est particulièrement touchée par la mort de Mariette, suite à un avortement clandestin. Elle décide alors de se battre pour accorder ce droit aux femmes.']",https://image.tmdb.org/t/p/w500/x2mgDGcpsnQIzxE6QtLp67BdEWh.jpg,0,1,0,
Docteur Laennec,tt0138405,95.0,"Biography,Drama",6.1,27.0,1940,0,0.981,1949-06-17,['biographie'],"[""L'histoire de l'invention du stéthoscope par le docteur Laennec, qui combattit victorieusement la phtisie jusqu'au moment où, malade lui-même, il regagne sa Bretagne natale.""]",https://image.tmdb.org/t/p/w500/v7aZz6w8PYE3ksb7ZwiDZcFBtkL.jpg,0,1,0,
Het ondergronds orkest,tt0138677,108.0,"Documentary,History,Music",7.8,92.0,1990,0,0.6,1998-01-15,"['Paris, France', 'musicien', 'métro', 'réalisatrice', 'performance de rue']",[],https://image.tmdb.org/t/p/w500/lvnKO2yHV0UUb4EUnKHhspeNRKZ.jpg,0,0,1,
Quai de Grenelle,tt0138731,100.0,"Crime,Drama",6.8,96.0,1950,0,0.852,1950-11-25,[],"['Jeune chasseur de vipères, Jean-Louis Cavalade aime la solitude de son repaire forestier de Fontainebleau et sa petite amie Simone Lamy, vendeuse dans une grande surface. Il va être victime de la fatalité et pris dans un engrenage infernal.']",https://image.tmdb.org/t/p/w500/e8DSiTYjAmyI1QesUNaErLqrIGO.jpg,0,1,0,
Carnaval,tt0139098,90.0,Comedy,6.1,77.0,1950,0,1.4,1953-07-26,[],"[""M. Dardamelle, architecte à Aix-en-Provence, homme rangé et mari attentif, éprouve une cruelle désillusion. Dans un moment de colère, Francine, son épouse dévoile à son mari qu'elle le trompe. Dardamelle s'installe dès lors dans son rôle de mari bafoué et joue les cocus magnifiques. Il proclame gaillardement son ennui qu'il détaille aux amis et aux voisins. Les uns et les autres croient que le cynique, émoustillé par le carnaval, joue la comédie. Difficile de crier son infortune sans passer pour un galéjeur! Mais l'épouse et son amant se trouvent dans une situation intolérable. Mme Dardamelle finit par s'avouer vaincue.""]",https://image.tmdb.org/t/p/w500/ivoEN53J1zvyvLd8vOgVEtCKjDz.jpg,1,0,0,
Cigalon,tt0139117,73.0,Comedy,6.4,91.0,1930,0,0.6,1935-12-11,[],"[""Cigalon est le propriétaire d'un restaurant dans un petit village de Provence, en haut de colline. Pendant 35 ans, il s'est coupé l'appétit en goûtant la mangeaille servie à ses clients. Désormais, il refuse catégoriquement et décide de ne cuisiner que pour lui. Mais lorsque l'ancienne blanchisseuse de l'hôtel où il officiait, Virginie Toffi, vient lui annoncer qu'elle va ouvrir un restaurant concurrent dans son village avec son neveu Vergile, Cigalon est piqué au vif. Dans un premier temps, il tente de régler le problème en offrant à Virginie de l'épouser, mais celle-ci refuse catégoriquement. Dès lors, la guerre est déclarée...""]",https://image.tmdb.org/t/p/w500/dxbWdpKGy82pjt8jndQAhJJ5FFc.jpg,1,0,0,
